conf_qubit_alloc,conf_cluster_type,conf_target_id,conf_qaoa_depth,shots,bit_string,count,cost,benchmark_min_cost,benchmark_avg_cost,benchmark_max_cost,timestamp
naive_adjacency,waste_collection_area,56,3,512,1000010000100001,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,1000010000010010,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,1000001001000001,0,18.987991051163284,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,1000000101000010,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,1000001000010100,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,1000000100100100,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100100000100001,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100100000010010,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010100001000001,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001100001000010,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010100000010100,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001100000100100,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100001010000001,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100000110000010,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010010010000001,0,19.876919324808853,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001010010000010,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010000110000100,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001001010000100,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100001000011000,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0100000100101000,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010010000011000,0,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001010000101000,0,18.987991051163288,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0010000101001000,1,17.97359693637821,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
naive_adjacency,waste_collection_area,56,3,512,0001001001001000,0,19.876919324808856,17.97359693637821,18.946169104116787,19.876919324808856,2025-09-22 08:16:40
node_visit_time,waste_collection_area,56,3,512,000110,3,17.97359693637821,17.97359693637821,18.946169104116784,19.876919324808856,2025-09-22 08:17:42
node_visit_time,waste_collection_area,56,3,512,001001,5,18.987991051163288,17.97359693637821,18.946169104116784,19.876919324808856,2025-09-22 08:17:42
node_visit_time,waste_collection_area,56,3,512,010010,7,19.876919324808853,17.97359693637821,18.946169104116784,19.876919324808856,2025-09-22 08:17:42
node_visit_time,waste_collection_area,56,3,512,011000,6,19.876919324808856,17.97359693637821,18.946169104116784,19.876919324808856,2025-09-22 08:17:42
node_visit_time,waste_collection_area,56,3,512,100001,1,18.987991051163288,17.97359693637821,18.946169104116784,19.876919324808856,2025-09-22 08:17:42
